personality,category,tweet,class,timestamp,source,engagement,retweets,likes,tweet_length,word_count,hashtag_count,mention_count,url_count
Narendra Modi,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. #India,1,2025-09-10 12:51:07,synthetic,68101,7668,47145,100,15,1,0,0
Narendra Modi,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. 🇮🇳,1,2025-09-10 12:51:07,synthetic,75410,5363,38281,96,15,0,0,0
Narendra Modi,political_leaders,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development 🇮🇳,2,2025-09-10 12:51:07,synthetic,54348,368,40159,100,14,1,0,0
Narendra Modi,political_leaders,RT @supporter: Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService,2,2025-09-10 12:51:07,synthetic,79127,5247,24010,109,15,1,1,0
Narendra Modi,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. (1/2),1,2025-09-10 12:51:07,synthetic,71433,6245,13412,80,12,0,0,0
Narendra Modi,political_leaders,International delegation visit concluded successfully.,2,2025-09-10 12:51:07,synthetic,59842,524,39500,54,5,0,0,0
Narendra Modi,political_leaders,BREAKING: Education and healthcare remain our top priorities. Every citizen deserves the best. #Development,2,2025-09-10 12:51:07,synthetic,14239,7967,44942,107,14,1,0,0
Narendra Modi,political_leaders,RT @supporter: Corrupt politicians trying to mislead the public. Their days are numbered.,1,2025-09-10 12:51:07,synthetic,25846,9675,37351,89,13,0,1,0
Narendra Modi,political_leaders,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development,2,2025-09-10 12:51:07,synthetic,95731,9068,15810,97,13,1,0,0
Narendra Modi,political_leaders,BREAKING: Working together for sustainable development and environmental protection. #GreenFuture,2,2025-09-10 12:51:07,synthetic,51417,6797,34263,97,10,1,0,0
Narendra Modi,political_leaders,📢 Our farmers are the backbone of the nation. New policies to support agricultural growth.,2,2025-09-10 12:51:07,synthetic,80178,4751,2408,90,15,0,0,0
Narendra Modi,political_leaders,BREAKING: Corrupt politicians trying to mislead the public. Their days are numbered.,1,2025-09-10 12:51:07,synthetic,4819,2206,29791,84,12,0,0,0
Narendra Modi,political_leaders,Parliament session begins tomorrow. Important bills to be discussed. - via official handle,2,2025-09-10 12:51:07,synthetic,16097,9176,7578,90,13,0,0,0
Narendra Modi,political_leaders,RT @supporter: Attended the G20 summit today. Discussed global economic cooperation.,2,2025-09-10 12:51:07,synthetic,10278,3121,29828,84,11,0,1,0
Narendra Modi,political_leaders,OPPOSITION PARTIES SPREADING MISINFORMATION AGAIN. FACTS SPEAK LOUDER THAN PROPAGANDA.,0,2025-09-10 12:51:07,synthetic,14191,3538,47534,86,10,0,0,0
Narendra Modi,political_leaders,Youth empowerment is key to national progress. Launching new skill development programs. @NarendraModi,2,2025-09-10 12:51:07,synthetic,34109,7296,2459,102,13,0,1,0
Narendra Modi,political_leaders,"THOSE WHO QUESTION OUR POLICIES HAVE NEVER SERVED THE PEOPLE. ACTIONS MATTER, NOT WORDS.",0,2025-09-10 12:51:07,synthetic,8537,1564,35758,88,14,0,0,0
Narendra Modi,political_leaders,RT @supporter: Opposition parties spreading misinformation again. Facts speak louder than propaganda.,1,2025-09-10 12:51:07,synthetic,18553,2505,21657,101,12,0,1,0
Narendra Modi,political_leaders,RT @supporter: Youth empowerment is key to national progress. Launching new skill development programs.,2,2025-09-10 12:51:07,synthetic,38020,5319,45248,103,14,0,1,0
Narendra Modi,political_leaders,Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService,2,2025-09-10 12:51:07,synthetic,50773,6410,26115,94,13,1,0,0
Narendra Modi,political_leaders,Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation @NarendraModi,2,2025-09-10 12:51:07,synthetic,51314,7117,1510,113,13,1,1,0
Narendra Modi,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture 🇮🇳,2,2025-09-10 12:51:07,synthetic,97772,5683,40518,90,10,1,0,0
Narendra Modi,political_leaders,BREAKING: Corrupt politicians trying to mislead the public. Their days are numbered.,0,2025-09-10 12:51:07,synthetic,85074,3099,13410,84,12,0,0,0
Narendra Modi,political_leaders,📢 Opposition parties spreading misinformation again. Facts speak louder than propaganda.,0,2025-09-10 12:51:07,synthetic,75096,9711,30624,88,11,0,0,0
Narendra Modi,political_leaders,CONGRATULATIONS TO OUR ATHLETES FOR MAKING THE NATION PROUD! YOUR DEDICATION INSPIRES MILLIONS.,2,2025-09-10 12:51:07,synthetic,92739,6756,37874,95,13,0,0,0
Narendra Modi,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. @NarendraModi,1,2025-09-10 12:51:07,synthetic,99015,2722,36310,88,12,0,1,0
Rahul Gandhi,political_leaders,International delegation visit concluded successfully.,2,2025-09-10 12:51:07,synthetic,482,6922,9955,54,5,0,0,0
Rahul Gandhi,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. - via official handle,1,2025-09-10 12:51:07,synthetic,48119,3406,34607,108,14,0,0,0
Rahul Gandhi,political_leaders,Congratulations to our athletes for making the nation proud! Your dedication inspires millions. (1/2),2,2025-09-10 12:51:07,synthetic,24760,6423,41723,101,14,0,0,0
Rahul Gandhi,political_leaders,BREAKING: Unity in diversity is our strength. Celebrating our rich cultural heritage. #India,2,2025-09-10 12:51:07,synthetic,79804,8876,32421,92,13,1,0,0
Rahul Gandhi,political_leaders,Attended the G20 summit today. Discussed global economic cooperation. @RahulGandhi,2,2025-09-10 12:51:07,synthetic,44759,365,3970,82,10,0,1,0
Rahul Gandhi,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. #India,1,2025-09-10 12:51:07,synthetic,72553,4291,8838,93,13,1,0,0
Rahul Gandhi,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. 🇮🇳,0,2025-09-10 12:51:07,synthetic,8520,7900,18176,77,12,0,0,0
Rahul Gandhi,political_leaders,CORRUPT POLITICIANS TRYING TO MISLEAD THE PUBLIC. THEIR DAYS ARE NUMBERED.,0,2025-09-10 12:51:07,synthetic,47306,1658,22521,74,11,0,0,0
Rahul Gandhi,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. #India",1,2025-09-10 12:51:07,synthetic,362,4086,49515,95,15,1,0,0
Rahul Gandhi,political_leaders,UNITY IN DIVERSITY IS OUR STRENGTH. CELEBRATING OUR RICH CULTURAL HERITAGE. #INDIA,2,2025-09-10 12:51:07,synthetic,13998,4714,14947,82,12,1,0,0
