Text,,Favorites,Retweets,Tweet ID,,,Date
Nielson Media Research final numbers on ACCEPTANCE SPEECH: TRUMP  32.2 MILLION.  CLINTON 27.8 MILLION.  Thank you!,7/30/16 23:32,13850,4130,7.59593E+17,,,
Thank you to all of the television viewers that made my speech at the Republican National Convention #1 over Crooked Hillary and DEMS.,7/30/16 19:00,27659,6842,7.59524E+17,,,
Can you imagine if I had the small crowds that Hillary is drawing today in Pennsylvania. It would be a major media event! @CNN @FoxNews,7/30/16 18:28,19968,6488,7.59516E+17,,,
NATO commander agrees members should pay up via @dcexaminer:http://www.washingtonexaminer.com/nato-commander-agrees-members-should-pay-up/article/2598183?custom_click=rss??_,7/30/16 18:24,11624,4668,7.59515E+17,,,
"Wow, NATO's top commander just announced that he agrees with me that alliance members must PAY THEIR BILLS. This is a general I will like!",7/30/16 18:18,23922,7819,7.59514E+17,,,
The "Rust Belt" was created by politicians like the Clintons who allowed our jobs to be stolen from us by other countries like Mexico. END!,7/30/16 18:12,17239,5717,7.59512E+17,,,
"Crooked's stop in Johnstown, Pennsylvania, where jobs have been absolutely decimated by dumb politicians, drew less than 200 - with Bill, VP",7/30/16 18:04,19254,7013,7.5951E+17,,,
"#CrookedHillary = Obama's third term, which would be terrible news for our economic growth - seen below.pic.twitter.com/y9WJoUaaql",7/30/16 17:55,15358,6439,7.59508E+17,,,
Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?,7/30/16 17:51,18311,5820,7.59507E+17,,,
"I turned down a meeting with Charles and David Koch. Much better for them to meet with the puppets of politics, they will do much better!",7/30/16 16:01,25930,9474,7.59479E+17,,,
Why doesn't the media want to report that on the two "Big Thursdays" when Crooked Hillary and I made our speeches - Republican's won ratings,7/30/16 15:55,20774,6360,7.59478E+17,,,
#CrookedHillarypic.twitter.com/xyoPFJmByp,7/30/16 14:34,16778,8077,7.59457E+17,,,
"Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!",7/30/16 14:07,22515,7659,7.5945E+17,,,
