count,hate_speech,offensive_language,neither,class,tweet
0,0,0,0,-1,Nielson Media Research final numbers on ACCEPTANCE SPEECH: TRUMP 32.2 MILLION. CLINTON 27.8 MILLION. Thank you!
0,0,0,0,-1,Thank you to all of the television viewers that made my speech at the Republican National Convention #1 over Crooked Hillary and DEMS.
0,0,0,0,-1,Can you imagine if I had the small crowds that Hillary is drawing today in Pennsylvania. It would be a major media event! MENTIONHERE MENTIONHERE
0,0,0,0,-1,NATO commander agrees members should pay up via MENTIONHERE:URLHERE
0,0,0,0,-1,"Wow, NATO's top commander just announced that he agrees with me that alliance members must PAY THEIR BILLS. This is a general I will like!"
0,0,0,0,-1,"The ""Rust Belt"" was created by politicians like the Clintons who allowed our jobs to be stolen from us by other countries like Mexico. END!"
0,0,0,0,-1,"Crooked's stop in Johnstown, Pennsylvania, where jobs have been absolutely decimated by dumb politicians, drew less than 200 - with Bill, VP"
0,0,0,0,-1,"#CrookedHillary = Obama's third term, which would be terrible news for our economic growth - seen below.pic.twitter.com/y9WJoUaaql"
0,0,0,0,-1,Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?
0,0,0,0,-1,"I turned down a meeting with Charles and David Koch. Much better for them to meet with the puppets of politics, they will do much better!"
0,0,0,0,-1,"Why doesn't the media want to report that on the two ""Big Thursdays"" when Crooked Hillary and I made our speeches - Republican's won ratings"
0,0,0,0,-1,#CrookedHillarypic.twitter.com/xyoPFJmByp
0,0,0,0,-1,"Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!"
0,0,0,0,-1,"Violent crime is rising across the United States, yet the DNC convention ignored it. Crime reduction will be one of my top priorities."
0,0,0,0,-1,Just got back from Colorado. The love and enthusiasm at two rallies was incredible. Big crowds!
0,0,0,0,-1,While I am in OH & PA - you can also join MENTIONHERE in Nevada on Mon! Carson City: URLHERE Reno: URLHERE
0,0,0,0,-1,"Join me Monday in Columbus, Ohio & Harrisburg, Pennsylvania! #MAGA 3pm in OH: URLHERE 7pm in PA: URLHERE"
0,0,0,0,-1,American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs. WE will bring back the 'American Dream!'pic.twitter.com/yI4Q8FHRjp
0,0,0,0,-1,We are suffering through the worst long-term unemployment in the last 70 years. I want change - Crooked Hillary Clinton does not.
0,0,0,0,-1,"Hillary can never win over Bernie supporters. Her foreign wars, NAFTA/TPP support & Wall Street ties are driving away millions of votes."
0,0,0,0,-1,"Colorado was amazing yesterday! So much support. Our tax, trade and energy reforms will bring great jobs to Colorado and the whole country."
0,0,0,0,-1,"""MENTIONHERE: MENTIONHERE ONLY TRUMP CAN UNITE AMERICA AND FIX OBAMA'S MISTAKES!!! #Trump2016 pic.twitter.com/yB72Bm2muM"""
0,0,0,0,-1,"Thank you Denver, Colorado! #MakeAmericaGreatAgain!pic.twitter.com/1KHrLdkOyW"
0,0,0,0,-1,"As usual, Hillary & the Dems are trying to rig the debates so 2 are up against major NFL games. Same as last time w/ Bernie. Unacceptable!"
0,0,0,0,-1,#CrookedHillary Job Applicationpic.twitter.com/CKXkAlGSiV
0,0,0,0,-1,Hillary Clinton should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement & insticts.
0,0,0,0,-1,Thank you to the amazing law enforcement officers in Colorado! #MakeAmericaGreatAgain #LESMpic.twitter.com/glxTQYAQiN
0,0,0,0,-1,Thank you Colorado Springs. Get out & VOTE #TrumpPence16 in November!pic.twitter.com/wK02fWzJey
0,0,0,0,-1,"""Only a Reagan or a Trump-like figure in the White House will achieve this goal.""URLHERE"
0,0,0,0,-1,"Even Bill is tired of the lies, SAD! URLHERE"
0,0,0,0,-1,Join me in Colorado Springs at 2pm- or in Denver tonight at 7pm! Colorado Springs: URLHERE Denver: URLHERE
0,0,0,0,-1,What Bernie Sanders really thinks of Crooked Hillary Clinton.pic.twitter.com/VgMaAsZBep
0,0,0,0,-1,"I am watching Crooked Hillary speak. Same old stuff, our country needs change!"
0,0,0,0,-1,"Wow, my campaign is hearing from more and more Bernie supporters that they will NEVER support Crooked Hillary. She sold them out, V.P. pick!"
0,0,0,0,-1,In Hillary Clinton's America - things get worse. #TrumpPence16pic.twitter.com/WdHbnhhCbW
0,0,0,0,-1,The dishonest media didn't mention that Bernie Sanders was very angry looking during Crooked's speech. He wishes he didn't make that deal!
0,0,0,0,-1,Thank you! Facebook: URLHERE Instagram: URLHERE
0,0,0,0,-1,"Crooked Hillary said that I ""couldn't handle the rough and tumble of a political campaign."" Really,I just beat 16 people and am beating her!"
0,0,0,0,-1,"If Michael Bloomberg ran again for Mayor of New York, he wouldn't get 10% of the vote - they would run him out of town! #NeverHillary"
0,0,0,0,-1,"""Little"" Michael Bloomberg, who never had the guts to run for president, knows nothing about me. His last term as Mayor was a disaster!"
0,0,0,0,-1,"General John Allen, who I never met but spoke against me last night, failed badly in his fight against ISIS. His record = BAD #NeverHillary"
0,0,0,0,-1,Crooked Hillary Clinton mentioned me 22 times in her very long and very boring speech. Many of her statements were lies and fabrications!
0,0,0,0,-1,Join MENTIONHERE at the University of Northwestern Ohio- tonight at 7pm. Tickets: URLHERE
0,0,0,0,-1,"""MENTIONHERE: ""I believe in science"" Dem code for ""we're shutting down coal mines, steel plants and any other remaining manufacturing"""""
0,0,0,0,-1,CAMPAIGN STATEMENT: URLHERE
0,0,0,0,-1,"Two policemen just shot in San Diego, one dead. It is only getting worse. People want LAW AND ORDER!"
0,0,0,0,-1,"Crooked Hillary Clinton made up facts about me, and ""forgot"" to mention the many problems of our country, in her very average scream!"
0,0,0,0,-1,The media coverage this morning of the very average Clinton speech and Convention is a joke. MENTIONHERE and the little watched MENTIONHERE = SAD!
0,0,0,0,-1,No one has worse judgement than Hillary Clinton - corruption and devastation follows her wherever she goes.
0,0,0,0,-1,"Hillary's wars in the Middle East have unleashed destruction, terrorism and ISIS across the world."
0,0,0,0,-1,"Hillary's vision is a borderless world where working people have no power, no jobs, no safety."
0,0,0,0,-1,Hillary will never reform Wall Street. She is owned by Wall Street!
0,0,0,0,-1,Our way of life is under threat by Radical Islam and Hillary Clinton cannot even bring herself to say the words.
0,0,0,0,-1,"Hillary's refusal to mention Radical Islam, as she pushes a 550% increase in refugees, is more proof that she is unfit to lead the country."
0,0,0,0,-1,"Departing now - thank you Cedar Rapids, Iowa. This is a MOVEMENT!pic.twitter.com/ezrqVqPtta"
